finalwgt,CR1,CR2,CR3,CR4,CR5,AER6,AER7,AER8,CR10,AER11,AER12,AER13,AER14,AER15,AER16,AER17,CR13,CR14,CR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,CR23,CR24,CR25,CR26,CR27,AER33,AER34,CR30,CR31,CR32,CR33,CR34,CR35,CR36,AER42,AER43,CR39,AER45,CR41,CR42,CR43,CR44,CR45,CR46,CR47,CR48,CR49,CR50,CR51,CR52,CR53,CR54,CR55,AER61,Stratum,PSU
43.30879294,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,4,1,2,3,3,3,1,4,2,8,8,2,4,1,1,2,1,1,1,8,2,4,1,4,3,1,4,2,1,4,2,2,2,2,3,3,,2,200201013,26
44.95298661,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,2,1,6,2,4,2,5,1,1,1,1,1,1,1,1,3,4,4,,2,3,3,4,2,1,1,1,2,5,2,1,200201013,26
63.95498002,2,1,1,1,1,2,2,2,1,1,2,1,1,1,1,2,1,3,1,1,1,1,4,1,1,3,3,2,3,1,3,8,8,1,1,1,1,1,1,3,1,1,3,1,1,3,3,2,4,1,1,3,2,1,3,1,1,6,2,4,200201013,26
42.16044619,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,3,3,2,3,3,1,4,1,1,1,1,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,200201014,27
42.16044619,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3,4,1,1,3,1,3,2,4,2,1,1,4,4,1,1,1,1,1,1,1,1,1,3,1,3,2,3,3,2,2,2,1,1,1,2,5,,3,200201014,27
42.16044619,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,2,,,,,,,,,,,2,1,1,4,2,1,1,2,1,1,1,1,1,1,2,3,,1,2,,3,2,,1,2,1,2,1,2,,200201014,27
64.38128216,1,6,4,3,2,3,4,,1,6,2,1,2,3,1,2,2,1,1,1,1,1,1,3,3,2,1,2,3,4,2,2,3,4,2,1,1,1,2,3,3,8,2,4,3,3,3,2,4,3,2,4,2,1,3,1,2,6,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,2,2,2,2,2,1,6,1,3,200201014,27
64.38128216,1,7,4,5,2,3,6,4,1,6,1,7,1,1,4,2,2,3,1,1,1,1,3,3,3,2,2,2,2,4,2,2,2,3,4,1,1,1,2,2,8,7,2,4,3,3,1,2,3,2,1,2,2,2,2,,,6,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,3,3,2,1,1,2,4,2,8,8,3,3,2,2,1,1,2,1,1,1,1,1,1,4,2,2,2,2,3,2,3,2,1,2,4,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,6,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,2,1,1,1,3,3,3,1,2,1,1,2,1,8,3,3,2,3,1,1,1,1,1,1,1,3,3,3,2,2,2,2,3,2,2,2,2,1,4,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,3,3,1,3,3,3,4,2,8,8,,3,1,2,1,1,1,1,1,1,1,2,3,3,2,3,2,2,3,2,3,3,3,1,7,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,3,4,1,3,3,2,4,1,1,1,1,1,1,1,1,1,2,1,2,2,3,2,2,4,2,1,2,2,1,3,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,3,3,3,2,3,2,2,4,2,8,8,3,4,1,3,1,1,1,1,1,1,1,2,3,3,2,3,2,2,4,2,2,3,3,1,4,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,3,8,8,2,4,3,2,1,1,1,1,1,1,1,2,2,2,2,4,3,2,3,2,1,1,1,2,4,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,3,3,2,2,3,3,3,3,3,1,1,3,4,2,1,1,4,4,5,4,2,2,3,1,1,4,3,1,1,1,2,1,1,1,1,2,2,1,1,1,5,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,1,,4,3,8,8,2,4,1,5,1,1,1,1,1,1,1,1,3,2,2,3,1,2,3,2,1,1,1,2,5,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,4,1,1,3,1,1,3,4,1,2,3,2,3,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,2,3,2,1,1,1,6,7,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,1,1,1,1,2,3,2,2,2,3,2,2,4,3,8,8,3,4,1,3,1,1,1,1,1,1,1,3,2,2,2,2,2,2,3,2,2,2,2,1,4,1,3,200201014,27
64.38128216,1,6,1,1,1,1,1,1,3,2,1,4,1,1,3,1,2,1,1,2,2,2,4,3,1,2,2,1,3,4,2,1,6,4,4,2,1,1,2,3,3,6,3,5,1,3,2,2,2,3,3,4,2,2,2,1,2,4,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,5,2,2,2,2,2,3,3,3,3,3,3,4,1,8,8,1,3,1,1,1,1,1,1,1,1,1,3,1,3,2,1,3,3,4,2,1,1,1,2,5,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,3,1,8,8,2,4,1,1,1,1,1,1,1,1,1,2,3,3,2,3,3,1,3,2,1,2,1,2,4,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,1,2,3,1,1,1,5,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,2,1,3,1,1,1,2,2,2,2,5,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,3,4,1,8,8,1,4,1,1,1,1,1,1,1,1,1,1,3,2,2,3,1,2,3,2,1,1,1,2,5,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,3,3,2,3,3,3,3,4,2,8,8,2,3,1,1,2,1,1,1,1,1,1,1,3,3,2,4,2,1,2,2,1,2,2,2,6,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,3,3,4,1,1,1,4,4,1,1,2,1,1,1,1,1,1,3,4,2,2,4,2,2,4,2,3,2,2,3,4,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,4,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,3,3,4,2,2,2,2,1,3,1,3,200201014,27
64.38128216,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,200201014,27
64.38128216,1,6,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,2,1,2,1,2,1,1,1,1,1,2,4,3,8,8,4,4,5,1,1,1,1,1,1,1,1,3,3,3,2,3,3,1,1,2,3,2,2,1,4,1,3,200201014,27
36.09249172,2,1,1,,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,3,3,2,3,3,3,4,1,8,8,4,4,1,1,1,1,1,1,1,1,1,1,4,4,1,4,,3,3,,2,2,2,1,3,1,1,200201014,28
46.35776745,2,1,,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,,2,2,1,1,1,4,1,8,8,1,4,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,2,1,1,1,2,4,2,1,200201014,28
59.80738073,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,1,1,2,3,1,6,8,3,2,1,1,1,1,1,1,1,1,1,3,3,3,2,4,3,3,4,2,1,2,1,6,,,2,200201014,28
62.0779339,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4,2,2,1,3,3,2,4,2,8,8,4,3,1,2,1,1,1,1,1,1,1,1,3,2,2,3,2,1,2,2,2,2,2,1,3,2,1,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,3,4,1,8,8,3,3,2,2,1,1,1,1,1,1,1,1,2,3,2,3,2,2,2,2,3,1,3,2,5,2,4,200201014,28
65.95357314,1,2,1,1,1,1,2,1,1,8,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,4,1,3,8,3,3,1,1,1,2,2,8,8,3,4,1,2,2,,3,3,3,1,2,1,3,3,1,5,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,,,4,2,1,1,1,3,1,1,2,1,1,1,1,1,1,2,1,2,2,,,3,3,,2,3,1,1,3,2,4,200201014,28
65.95357314,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,3,1,1,1,1,1,3,1,1,3,3,2,1,4,1,8,8,2,3,1,1,2,2,1,1,1,1,1,1,1,3,2,4,2,1,4,2,2,2,2,1,5,2,4,200201014,28
65.95357314,2,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,1,1,2,4,2,8,8,4,3,2,2,1,1,1,1,1,1,1,3,,1,2,2,2,3,,2,1,2,1,1,5,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4,1,2,2,2,2,2,4,1,8,8,3,4,1,1,1,1,1,1,1,1,1,1,2,3,2,3,1,2,4,2,1,1,1,2,6,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,2,1,1,4,2,2,2,2,2,2,4,2,2,2,4,4,1,2,1,1,1,1,1,1,1,1,3,3,2,3,2,2,4,2,2,2,2,1,6,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4,2,2,2,1,2,2,4,1,8,8,2,4,1,1,2,1,1,1,1,1,1,1,1,3,2,2,1,1,1,2,1,1,1,3,6,2,4,200201014,28
65.95357314,2,1,1,,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,3,4,1,8,8,3,3,2,2,1,3,1,1,1,1,1,1,2,3,2,3,2,2,2,2,3,1,3,6,6,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,3,2,,2,2,2,4,1,8,8,4,4,5,1,2,1,1,1,1,1,1,1,2,3,2,3,3,3,4,,3,3,3,3,5,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,4,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,3,,1,2,2,1,6,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,3,4,2,1,1,1,3,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,3,2,3,1,1,3,5,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,8,8,1,4,1,1,1,1,1,1,1,1,1,2,1,3,2,4,2,3,1,2,2,2,2,1,4,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,2,1,2,4,3,2,3,1,2,,2,1,8,8,1,4,5,2,2,1,1,1,1,1,1,1,3,2,2,2,1,2,3,2,2,1,1,2,4,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,1,8,2,1,4,5,1,2,4,1,1,1,1,1,1,3,2,2,3,1,2,4,2,1,1,1,1,7,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,2,1,1,3,3,3,2,2,3,3,4,1,8,8,1,4,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,5,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,3,2,2,2,2,2,2,4,1,8,8,3,4,2,1,1,1,1,1,1,1,1,1,3,3,2,4,3,3,1,2,1,1,1,3,5,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,3,2,2,2,2,2,2,2,4,2,8,8,3,4,4,2,1,1,1,1,1,1,1,1,3,3,2,4,3,3,1,2,1,1,1,3,5,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,4,3,3,2,1,1,2,4,2,8,8,4,4,2,1,1,1,1,1,1,1,1,3,1,2,2,4,2,2,1,2,2,2,2,3,6,2,4,200201014,28
65.95357314,1,5,1,1,1,1,1,1,1,1,1,4,1,1,2,2,1,1,1,1,1,1,1,1,2,3,1,2,2,4,2,1,3,3,2,2,1,1,1,1,1,1,1,4,2,3,3,2,2,2,2,3,2,2,2,2,3,6,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,3,1,1,2,1,2,2,4,2,8,8,4,4,2,1,2,1,1,1,1,1,1,2,3,2,2,3,2,2,3,2,2,2,2,1,6,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,2,2,1,1,3,4,2,2,2,4,4,5,4,2,1,1,1,1,1,1,2,3,3,2,3,2,2,3,2,3,2,2,1,5,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,,1,1,8,8,1,4,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,1,2,1,2,1,1,5,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,2,2,2,2,2,3,4,1,8,3,1,4,1,1,1,1,1,1,1,1,1,,4,3,2,3,2,2,4,2,1,2,3,1,5,2,4,200201014,28
65.95357314,1,4,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,3,1,2,2,3,1,2,2,1,2,2,4,1,2,8,3,4,1,1,1,2,2,8,5,2,5,3,3,2,2,3,2,1,3,2,2,2,2,6,5,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,3,3,1,3,3,3,4,1,3,8,1,4,3,2,2,1,1,1,1,1,1,2,3,2,2,2,2,2,3,2,1,1,1,3,5,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,3,3,2,3,2,2,4,1,8,8,4,4,1,1,1,4,4,1,1,1,1,1,3,3,2,1,1,2,4,2,2,2,1,1,5,2,4,200201014,28
65.95357314,2,1,1,1,1,1,1,1,1,1,2,1,1,,1,2,1,3,1,2,1,1,4,2,2,2,1,2,2,4,1,8,,3,1,5,1,1,1,1,1,1,1,1,2,4,2,2,1,2,3,4,2,2,,1,3,5,2,4,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,1,2,2,4,2,6,3,3,4,1,1,2,1,1,1,1,1,1,3,3,2,2,4,3,3,4,2,2,3,1,6,3,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,3,4,1,3,3,1,4,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,3,2,2,2,2,1,3,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,3,2,2,2,2,4,1,3,3,2,4,1,1,1,1,1,1,1,1,1,1,3,2,2,4,3,3,3,2,1,1,2,3,4,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4,1,2,2,2,2,2,4,1,2,8,1,4,2,1,1,1,1,1,1,1,1,1,1,3,2,3,2,2,1,1,3,2,3,1,3,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,3,3,2,1,2,2,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,2,3,2,2,4,2,2,3,2,1,1,1,3,3,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,3,2,3,3,2,3,4,1,8,8,3,4,1,1,1,1,1,1,1,1,1,2,3,2,2,3,,2,2,,2,3,2,2,2,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4,2,2,2,2,2,2,4,1,2,8,1,4,1,1,1,1,1,1,1,1,1,2,1,3,2,3,2,2,1,2,3,2,3,1,3,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,2,3,2,3,2,2,4,1,2,8,1,4,1,1,2,1,1,1,1,1,1,1,4,2,2,3,2,1,3,2,2,2,2,3,3,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,,,,,,1,3,2,2,2,2,2,1,4,1,8,8,1,4,1,1,1,1,1,1,1,1,1,1,3,3,2,4,3,3,4,2,,2,2,3,3,2,2,200201014,28
74.43395559,2,1,1,1,1,,1,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,4,2,2,2,2,2,3,4,1,8,8,1,4,5,1,2,1,1,1,1,1,1,1,1,3,2,2,2,2,1,2,3,2,2,1,3,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,3,2,4,1,3,3,1,4,1,1,2,1,1,1,1,1,1,1,3,2,2,3,2,2,3,2,2,1,2,3,3,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4,3,2,1,3,3,2,4,1,8,8,4,4,1,1,2,1,1,1,1,1,1,2,1,3,2,2,3,3,4,2,1,2,1,3,2,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4,1,1,3,1,1,2,4,1,8,8,4,4,1,1,2,1,2,1,1,1,1,1,3,3,2,2,2,1,3,2,3,3,3,3,3,2,2,200201014,28
74.43395559,2,1,1,1,1,,,,,,2,1,1,1,1,2,1,1,1,1,1,1,3,2,3,2,3,2,2,4,1,8,8,4,4,1,1,2,1,1,1,1,1,1,1,3,2,2,3,2,3,4,2,2,1,2,1,3,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,8,8,1,4,1,5,1,1,1,1,1,1,1,2,2,2,2,4,1,1,2,2,2,2,2,3,3,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4,2,2,2,2,2,3,4,1,8,8,1,4,1,1,1,1,1,1,1,1,1,2,1,1,2,4,3,3,1,2,2,2,2,1,4,2,2,200201014,28
74.43395559,2,1,1,1,1,1,,,,,,,,1,1,2,1,3,1,1,1,1,1,1,2,1,2,2,3,4,1,1,2,1,4,5,2,1,1,1,1,1,1,1,2,3,4,2,4,3,2,4,2,2,2,2,3,3,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4,3,,3,3,1,2,4,1,2,1,4,4,1,1,,1,1,1,1,1,1,2,1,2,2,1,3,3,4,2,3,2,3,1,3,2,2,200201014,28
74.43395559,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,3,3,3,1,1,1,2,4,1,8,8,4,4,1,1,1,1,1,1,1,1,1,1,3,3,2,3,2,2,1,2,1,1,3,3,3,2,2,200201014,28
90.67615725,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,2,2,2,2,1,4,2,8,2,4,4,1,1,1,1,1,1,1,1,1,1,3,3,2,2,1,2,3,2,3,1,3,1,5,1,4,200201014,28
90.67615725,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,1,1,3,4,4,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,2,4,2,2,2,2,1,7,1,4,200201014,28
34.99877985,2,1,,4,2,7,2,1,,6,,4,2,6,2,2,2,3,1,,2,1,,2,2,3,,2,,1,2,1,3,2,,,4,2,4,2,1,5,3,3,3,3,2,1,2,2,2,3,2,1,2,1,3,3,1,1,200201015,29
34.99877985,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,1,3,3,3,2,2,3,4,1,3,2,2,1,5,1,2,1,1,1,1,1,1,3,4,1,2,4,3,3,4,1,2,1,3,2,4,1,1,200201015,29
34.99877985,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,,1,2,8,8,3,4,5,5,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,2,3,1,1,200201015,29
34.99877985,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,3,3,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,,2,1,1,1,1,1,2,1,1,200201015,29
34.99877985,1,2,7,,4,3,6,8,2,6,1,2,7,8,3,1,5,1,4,1,4,4,3,1,3,1,1,1,3,3,2,5,2,4,3,5,5,2,4,4,2,2,4,5,,,,1,2,,,4,,3,3,,3,3,1,1,200201015,29
34.99877985,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,200201015,29
34.99877985,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,3,1,1,2,4,1,1,4,2,2,1,2,1,7,1,1,200201015,29
34.99877985,,,,,1,3,2,3,1,3,2,2,2,2,2,,2,5,2,2,2,3,1,2,2,1,3,2,2,2,2,2,3,2,4,3,2,2,3,2,1,1,3,4,2,2,3,2,1,2,2,1,,2,1,3,2,2,1,1,200201015,29
34.99877985,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,3,2,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,3,2,1,1,2,3,2,1,2,1,2,2,2,1,1,200201015,29
34.99877985,2,1,1,1,1,1,,,1,1,2,1,1,1,1,2,,1,1,2,1,1,1,3,3,3,3,3,3,1,1,,3,,3,1,1,1,1,1,1,1,1,1,3,4,4,2,2,1,1,3,2,2,2,1,6,5,1,1,200201015,29
34.99877985,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,3,3,4,1,8,8,4,4,1,1,1,1,1,1,1,1,1,3,4,4,2,1,3,3,4,2,1,1,1,2,3,1,1,200201015,29
34.99877985,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,8,8,1,4,1,1,2,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,200201015,29
34.99877985,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,2,1,1,1,4,1,4,1,1,1,5,3,2,3,1,4,1,2,2,1,1,1,1,3,2,2,1,2,1,2,1,1,2,1,1,200201015,29
34.99877985,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,3,3,3,1,1,2,2,4,1,8,8,3,3,1,1,1,1,1,1,1,1,1,3,2,2,2,3,1,1,4,2,1,2,1,2,2,1,1,200201015,29
34.99877985,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,3,3,2,2,2,2,2,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,4,1,2,3,2,1,2,1,1,3,1,1,200201015,29
34.99877985,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,3,2,3,3,1,1,1,1,1,1,1,1,1,2,4,2,2,4,3,2,4,2,1,3,1,1,3,1,1,200201015,29
34.99877985,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,3,3,3,3,3,3,4,2,8,8,1,4,2,1,1,1,1,1,1,1,1,3,2,2,2,2,2,1,2,,1,3,1,2,3,1,1,200201015,29
34.99877985,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,3,1,2,1,1,4,1,2,2,1,3,3,4,2,2,8,2,4,5,5,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,3,1,2,3,1,1,200201015,29
34.99877985,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,3,1,2,3,3,3,3,1,2,3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,1,1,1,2,1,2,2,1,6,1,1,200201015,29
34.99877985,2,,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,4,,,2,2,2,2,4,2,8,8,1,3,3,1,1,1,1,1,1,1,1,3,1,2,2,3,2,3,1,2,2,2,1,1,3,1,1,200201015,29
