FinalWgt,CR1,CR2,CR3,CR4,OMR5,OMR6,OMR7,OMR8,OMR9,OMR10,CR11,OMR12,OMR13,CR14,CR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,CR23,CR24,CR25,CR26,CR27,OMR28,OMR29,CR30,CR31,CR32,CR33,CR34,CR35,OMR36,OMR37,OMR38,CR39,OMR40,CR41,CR42,OMR43,CR44,OMR45,CR46,CR47,OMR48,CR49,CR50,CR51,CR52,OMR53,CR54,OMR56,OMR57,OMR58,OMR59,OMR60,OMR61,OMR62,OMR63,OMR64,OMR65,OMR66,OMR67,OMR68,OMR69,OMR70,OMR71,CR55,OMR72,Stratum,PSU
69.18826002,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,3,2,2,2,2,3,4,1,3,7,3,4,1,1,1,1,1,1,1,1,1,1,1,3,2,4,2,3,1,2,3,3,2,3,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,3,1,2,1,2,3,1,1,1,1,3,1,2,1,2,2,2,4,1,7,7,3,4,5,5,1,3,1,1,3,1,1,1,1,2,2,2,2,2,1,2,1,3,1,1,7,1,2,1,1,1,2,1,1,1,1,2,1,1,1,3,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,3,2,2,1,4,1,7,7,1,4,1,2,1,1,1,1,3,1,1,2,2,2,2,3,3,2,4,2,1,2,2,1,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,1,2,2,2,2,1,2,4,1,7,7,4,3,2,3,1,1,1,1,1,1,1,1,4,2,2,2,2,2,4,2,3,2,2,3,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,2,1,1,3,1,1,2,3,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,2,3,2,1,1,1,1,2,1,1,3,2,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,2,1,2,1,1,1,3,1,1,1,3,2,2,1,2,2,2,4,1,,,3,4,1,1,1,1,1,1,1,1,1,1,3,2,2,3,2,1,1,1,1,2,2,2,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,3,200201002,3
69.18826002,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,3,3,3,3,2,2,2,4,2,7,7,3,4,2,2,1,1,1,1,1,1,1,1,2,3,2,3,2,1,3,2,1,1,2,2,4,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,3,2,3,2,2,2,4,1,7,7,3,3,,2,1,1,1,1,1,1,1,2,1,2,2,3,3,2,4,2,2,2,3,3,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,2,3,2,2,2,2,2,4,2,7,2,2,4,,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,6,1,,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,6,1,2,1,1,1,1,2,1,1,3,1,1,1,1,2,3,4,2,1,7,3,4,1,2,1,1,1,1,1,1,6,2,2,2,2,4,2,2,3,2,2,2,1,4,6,1,2,1,1,1,1,3,3,1,2,,1,1,1,2,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,4,1,2,1,1,3,1,1,1,1,2,1,2,3,1,2,2,4,1,3,3,4,4,5,2,1,1,1,1,1,1,1,3,2,2,2,3,3,2,1,2,1,2,1,2,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,2,4,1,2,1,2,1,1,1,1,1,3,2,2,3,2,2,3,4,1,,,1,3,1,5,1,1,1,1,,3,,2,3,3,2,4,1,3,3,2,2,3,3,3,6,3,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,3,200201002,3
69.18826002,1,2,2,2,5,6,2,2,2,1,1,2,2,3,1,2,1,1,2,3,3,2,2,2,2,1,3,3,3,3,4,2,5,1,2,2,8,3,2,,3,1,3,2,4,2,2,1,2,2,3,3,2,7,3,1,5,1,4,1,3,3,2,3,2,1,1,1,3,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,3,2,2,3,2,2,2,1,1,7,7,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,3,4,2,1,1,2,2,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,4,1,2,1,2,1,1,1,1,1,1,3,3,3,2,1,3,4,1,2,1,1,3,3,3,1,1,1,1,1,1,1,3,2,2,2,2,2,1,4,2,1,3,2,2,5,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,3,3,3,3,2,3,1,1,3,2,1,4,1,1,1,1,1,1,1,1,1,3,1,3,2,1,2,1,1,2,3,2,1,1,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,7,1,2,1,1,1,1,1,1,1,2,3,3,3,3,2,3,4,1,7,7,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,3,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,1,7,3,1,3,1,1,1,1,1,1,1,1,1,3,1,2,2,3,2,2,1,2,1,2,2,2,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,3,200201002,3
69.18826002,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,2,2,3,2,2,2,4,1,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,2,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,3,200201002,3
69.18826002,,,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,3,2,2,3,2,2,2,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,4,2,2,3,2,,3,4,1,3,2,2,4,5,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,1,2,1,1,1,2,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,2,6,1,2,1,1,1,1,1,1,2,2,3,2,2,3,3,2,3,1,,,2,3,1,2,1,1,1,1,,1,1,1,3,3,2,3,3,2,2,2,1,2,2,3,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,3,2,2,3,2,2,1,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,2,1,3,2,4,3,3,1,2,1,1,1,2,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,6,1,2,1,1,3,1,1,1,1,3,1,2,1,3,3,2,4,1,1,7,2,4,5,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,2,2,2,2,3,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,3,200201002,3
69.18826002,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,4,2,2,3,2,2,2,4,2,7,7,1,4,4,5,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,3,3,4,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,3,200201002,3
80.62302598,1,6,1,1,1,1,7,2,2,2,2,7,3,1,3,2,3,3,3,3,2,1,1,2,3,3,2,6,7,2,3,1,5,1,2,4,2,,4,6,3,2,2,1,2,1,1,1,2,3,2,1,1,5,3,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,2,2,2,3,2,1,2,1,1,2,2,3,3,2,,3,3,2,3,3,1,2,3,2,4,1,1,1,3,2,1,5,1,1,1,1,2,2,2,3,2,,2,2,3,1,1,4,3,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,1,7,7,3,1,1,1,2,1,1,1,1,1,1,1,1,3,2,3,3,3,1,2,2,2,2,1,4,1,2,1,1,1,1,1,1,3,3,2,1,1,1,2,1,1,2,200201002,4
80.62302598,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,1,7,6,3,1,1,1,2,1,1,1,1,1,1,1,1,3,2,3,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,3,3,1,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,3,3,2,3,,3,4,1,2,1,1,1,6,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,1,2,3,2,2,2,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,,,2,2,1,2,1,5,3,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,1,2,3,2,2,2,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,,3,2,2,1,2,1,5,3,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,1,2,3,2,2,2,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,,3,2,2,1,2,1,5,3,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,,3,2,2,1,2,1,5,3,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,2,2,1,1,2,1,2,3,3,2,1,1,1,2,3,2,2,1,2,4,1,2,3,1,4,3,2,1,3,3,2,2,3,5,1,3,,,4,1,2,4,1,3,1,1,1,5,2,2,1,2,3,1,1,2,2,1,1,1,7,4,1,,1,2,200201002,4
80.62302598,1,5,1,1,1,1,2,2,2,1,2,7,2,3,3,1,1,1,3,1,2,1,1,2,2,3,2,1,1,1,4,1,1,1,2,3,5,3,2,,2,2,3,2,3,1,3,1,2,2,2,2,1,3,3,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,1,7,6,3,1,1,1,2,1,1,1,1,1,1,1,1,3,2,3,2,2,1,2,2,2,2,1,3,1,2,1,1,1,1,1,2,3,3,1,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,1,7,6,3,1,1,1,2,1,1,1,1,1,1,1,1,3,2,3,2,2,1,2,2,2,2,1,3,1,2,1,1,1,1,1,2,3,3,1,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,1,7,6,3,1,1,1,2,1,1,1,1,1,1,1,1,3,2,3,2,2,1,2,2,2,2,1,3,1,2,1,1,1,1,1,2,3,3,1,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,1,7,6,3,1,1,1,2,1,1,1,1,1,1,1,1,3,2,3,2,2,1,2,2,2,2,1,3,1,2,1,1,1,1,1,1,3,3,1,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,1,7,6,3,1,1,1,2,1,1,1,1,1,1,1,1,3,2,3,2,2,1,2,2,2,2,1,3,1,2,1,1,1,1,1,1,3,3,1,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,1,7,6,3,1,1,1,2,1,1,1,1,1,1,1,1,3,2,3,2,2,1,2,2,2,2,1,3,1,2,1,1,1,1,1,1,3,3,1,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,4,2,4,4,4,,,3,3,3,,4,1,7,7,4,4,1,1,1,1,1,1,1,1,1,1,4,1,2,1,3,3,4,2,1,2,2,1,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,7,7,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,3,4,2,2,3,3,1,4,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,,2,2,4,1,7,7,3,3,1,1,2,2,1,1,1,1,1,3,2,1,2,1,3,3,4,2,1,2,3,2,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,8,,1,1,1,1,1,4,2,1,1,3,3,2,1,1,1,2,1,1,5,1,1,3,5,3,1,1,1,1,2,4,1,3,2,1,1,1,3,1,1,2,2,2,3,1,4,1,2,7,7,1,3,1,1,1,2,1,1,1,2,1,2,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,1,7,7,1,2,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,2,1,2,2,2,2,1,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,200201002,4
80.62302598,2,1,1,1,1,3,6,3,2,3,2,1,2,3,1,1,1,1,4,3,3,1,2,2,3,4,2,2,7,4,3,5,1,2,1,1,6,7,3,5,3,1,2,2,3,3,2,1,2,2,2,2,1,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,1,2,2,2,2,2,4,1,7,7,1,3,1,2,1,1,1,1,1,1,1,3,4,2,2,2,3,2,1,2,3,3,2,4,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,3,2,2,2,2,2,7,7,4,3,1,5,1,1,1,1,1,1,1,1,2,2,2,3,1,1,2,2,1,1,3,3,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,6,1,2,1,1,1,1,1,2,2,3,1,2,3,3,3,3,4,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,4,2,3,4,2,2,2,2,4,4,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,200201002,4
80.62302598,1,5,1,1,1,1,1,1,2,1,2,1,1,1,3,2,2,2,1,1,2,1,1,2,3,4,1,1,3,4,4,1,1,1,3,1,1,1,1,1,3,2,2,1,2,3,2,1,2,2,1,2,1,5,1,2,1,1,1,1,1,1,1,1,2,4,1,2,1,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,4,1,1,7,2,3,2,2,2,2,2,2,1,2,1,2,2,2,2,4,6,2,2,3,4,2,2,3,4,3,3,2,3,2,2,1,2,1,1,2,2,2,2,2,1,4,3,1,5,2,4,2,,,1,3,1,1,2,2,2,3,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,3,2,2,2,4,2,7,7,4,3,1,5,1,1,1,1,1,1,1,1,2,2,1,2,1,1,3,2,1,1,3,3,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,1,1,,1,1,5,1,1,2,2,2,2,2,2,2,2,2,3,1,2,7,3,3,1,1,1,1,4,1,,3,1,3,1,1,2,4,3,3,3,2,2,2,2,1,7,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,1,1,,1,2,1,2,2,2,1,,,,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,3,2,2,1,1,2,2,3,1,7,7,1,3,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,4,1,2,1,1,1,4,2,1,1,2,1,1,3,2,2,2,4,1,7,7,4,3,1,5,1,1,1,1,1,1,1,1,2,2,2,2,1,1,3,2,1,1,3,3,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,200201002,4
80.62302598,1,1,1,1,1,1,1,2,3,1,2,1,2,1,2,1,1,2,3,3,3,2,2,2,3,4,1,2,2,1,3,1,1,1,3,4,1,2,4,,1,1,2,1,3,3,3,4,2,1,2,3,3,6,1,1,1,1,2,1,1,1,3,2,2,5,1,1,3,2,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,1,4,1,7,7,1,4,1,1,,3,3,1,2,,3,1,4,3,1,3,2,1,,1,,,1,3,4,3,1,3,2,7,7,1,,2,,,1,,1,1,1,1,2,200201002,4
80.62302598,1,1,1,1,4,5,3,4,6,1,1,1,4,4,,1,2,,,2,,1,1,1,2,2,2,3,4,4,4,1,5,1,4,3,2,2,,4,3,,3,,3,1,3,1,,1,,2,2,4,2,,4,4,1,5,3,3,,3,,3,4,4,3,2,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,,1,2,1,1,1,1,2,1,1,2,2,,2,2,2,2,4,1,7,7,4,4,1,1,,1,1,1,1,1,1,2,1,1,2,1,3,3,3,2,2,3,2,1,7,3,2,1,1,1,,1,1,1,1,2,1,1,1,,1,1,2,200201002,4
80.62302598,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,3,3,3,1,1,3,3,1,3,2,3,3,1,1,1,3,,3,1,1,2,1,2,2,2,1,3,1,1,1,2,1,1,2,,2,,1,1,2,2,2,1,1,3,,1,2,1,1,1,1,2,200201002,4
80.62302598,1,5,1,1,1,1,2,2,2,1,2,7,2,3,3,1,1,1,3,1,2,1,1,2,2,4,2,1,1,1,4,1,1,1,2,3,5,3,2,,2,2,3,2,3,1,3,1,2,2,2,2,1,3,3,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,200201002,4
74.86423841,1,4,1,1,1,8,2,2,4,3,1,4,2,1,3,1,2,3,3,1,2,3,3,2,2,4,2,1,2,4,4,2,2,1,2,2,1,5,3,6,1,1,3,2,3,2,2,1,2,3,3,3,3,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,200201003,5
74.86423841,1,,,3,2,8,7,3,5,3,2,7,3,2,3,2,2,2,3,3,3,3,3,3,3,3,2,1,1,3,3,3,3,1,3,3,3,2,4,2,3,4,4,2,4,,,,1,,,2,,1,2,,2,3,2,1,2,3,2,2,1,1,1,1,1,1,1,2,200201003,5
74.86423841,,,1,1,1,1,1,2,3,1,1,1,2,1,1,1,1,1,3,2,2,2,1,1,3,4,1,7,7,4,4,2,5,1,1,1,1,1,1,1,2,2,2,2,3,1,2,1,2,2,2,2,1,5,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,200201003,5
74.86423841,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,2,1,1,3,1,2,1,1,1,1,3,2,2,3,2,3,1,1,1,1,1,1,1,1,1,2,4,2,2,3,3,2,2,2,1,2,2,1,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,200201003,5
74.86423841,1,7,2,3,4,2,3,2,2,1,1,7,2,1,1,1,1,1,2,2,2,2,2,2,2,4,2,7,7,4,4,1,2,1,2,2,5,3,2,2,1,2,2,2,3,3,2,4,2,1,3,2,4,7,3,2,1,1,1,1,1,1,1,1,1,6,1,2,3,3,1,2,200201003,5
74.86423841,1,4,2,2,7,1,2,2,2,1,1,7,2,3,1,1,1,1,4,1,1,3,1,1,2,4,2,7,7,3,4,1,3,1,2,1,1,3,1,1,1,3,2,2,2,3,2,2,2,1,1,1,2,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,200201003,5
74.86423841,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,3,4,1,7,7,3,4,1,1,1,1,1,1,1,1,1,2,2,1,2,3,2,2,4,2,3,3,3,1,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,200201003,5
74.86423841,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,2,3,3,2,1,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,200201003,5
74.86423841,1,4,2,2,4,8,1,2,2,1,1,7,1,3,2,1,1,1,3,2,2,2,2,2,2,4,3,3,3,1,4,5,3,1,2,2,3,3,4,3,2,3,2,2,3,1,3,2,2,2,2,2,3,7,1,1,6,3,2,3,3,1,1,2,1,4,2,2,3,1,1,2,200201003,5
74.86423841,2,1,1,1,1,1,1,1,2,2,2,1,1,3,1,1,1,1,2,2,2,2,2,2,2,4,1,7,7,3,3,2,3,1,3,1,1,3,3,6,1,2,2,2,2,1,1,2,2,1,2,3,3,5,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,200201003,5
74.86423841,1,6,2,2,5,2,2,2,2,1,1,7,2,1,2,2,1,1,3,2,2,3,2,2,3,4,2,3,3,3,4,2,1,1,2,2,8,3,2,2,2,3,2,2,2,2,3,3,2,1,1,2,3,7,3,2,1,1,1,1,1,1,1,1,1,6,4,4,2,3,1,2,200201003,5
74.86423841,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,2,2,3,3,2,6,3,2,1,1,1,1,1,1,3,3,1,1,1,1,2,1,1,2,200201003,5
74.86423841,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,3,3,1,3,3,3,3,1,7,7,2,3,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,1,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,200201003,5
74.86423841,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,3,1,2,1,3,1,2,3,4,3,1,2,3,2,2,2,1,2,2,1,1,1,3,6,3,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,200201003,5
74.86423841,1,4,,,1,1,2,2,2,1,2,7,2,1,3,1,3,3,3,1,2,1,2,2,3,4,2,1,3,4,3,1,2,1,2,2,8,5,2,1,2,4,2,2,4,1,2,1,2,2,2,2,1,6,3,1,1,2,3,7,1,1,2,1,2,2,3,4,1,1,1,2,200201003,5
74.86423841,2,1,1,1,1,1,1,1,3,1,2,1,2,1,1,2,1,1,3,3,2,2,2,2,2,4,2,7,3,4,3,1,5,1,2,1,1,2,1,2,2,2,2,1,2,3,,,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,200201003,5
74.86423841,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,2,7,7,2,3,1,3,1,1,1,1,3,1,1,2,2,3,2,3,1,1,3,2,1,1,2,,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,200201003,5
74.86423841,1,,2,2,4,2,2,2,3,1,2,5,2,1,1,1,1,1,3,2,2,2,2,2,2,4,1,7,7,3,4,1,1,1,3,3,7,3,3,2,2,3,2,2,3,2,3,4,1,3,2,2,2,1,2,2,3,2,2,4,3,2,2,2,1,1,1,1,1,1,1,2,200201003,5
74.86423841,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,,1,2,,2,2,2,2,4,1,3,3,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,3,7,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,200201003,5
74.86423841,1,4,,,4,2,2,2,2,1,1,7,1,1,2,,1,1,3,1,3,1,2,2,2,4,2,2,7,3,4,4,1,2,3,2,8,3,3,3,1,2,1,2,2,1,1,2,2,1,3,2,3,7,3,1,5,1,2,1,1,1,2,2,2,1,1,1,2,1,1,2,200201003,5
74.86423841,1,5,3,2,2,6,2,2,2,3,2,7,3,3,1,1,1,1,2,1,3,3,3,2,3,4,2,6,6,1,4,1,1,1,2,2,7,3,3,3,2,4,2,2,2,3,1,1,2,2,2,3,1,5,1,1,5,2,2,3,3,2,1,1,1,4,1,2,2,3,1,2,200201003,5
74.86423841,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,2,2,2,2,2,3,4,2,7,7,2,4,1,2,1,1,1,1,1,1,1,2,4,2,2,4,3,2,4,2,3,3,3,1,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,200201003,5
74.86423841,2,1,1,1,7,3,8,3,7,3,1,7,4,5,3,2,3,3,3,1,1,1,1,1,3,1,2,4,4,1,3,5,5,1,3,2,8,7,2,5,3,3,4,2,3,2,3,1,,3,3,1,1,1,1,1,7,5,2,1,1,1,1,1,1,7,2,,,1,1,2,200201003,5
74.86423841,1,5,6,3,7,6,2,2,4,3,2,7,2,1,3,1,1,1,2,1,2,1,3,3,3,3,2,7,3,3,3,1,3,1,2,4,5,3,2,6,3,1,1,2,2,2,3,1,2,2,2,2,1,6,3,2,1,1,1,1,1,1,1,1,1,5,2,2,1,2,1,2,200201003,5
